club,asset,wikimedia_file,direct_url,license,wikipedia_page
afc-bournemouth,kit-away,File:Kit body bournemouth2627a.png,https://upload.wikimedia.org/wikipedia/commons/4/46/Kit_body_bournemouth2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AFC Bournemouth
afc-bournemouth,kit-home,File:Kit body bournemouth2627h.png,https://upload.wikimedia.org/wikipedia/commons/4/48/Kit_body_bournemouth2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AFC Bournemouth
afc-bournemouth,kit-third,File:Kit body bournemouth2627t.png,https://upload.wikimedia.org/wikipedia/commons/c/c4/Kit_body_bournemouth2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AFC Bournemouth
aj-auxerre,crest,File:AJAuxerreLogo.svg,https://upload.wikimedia.org/wikipedia/en/5/51/AJAuxerreLogo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),AJ Auxerre
aj-auxerre,kit-away,File:Kit body AJAuxerre2627a.png,https://upload.wikimedia.org/wikipedia/commons/2/24/Kit_body_AJAuxerre2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AJ Auxerre
aj-auxerre,kit-home,File:Kit body AJAuxerre2627h.png,https://upload.wikimedia.org/wikipedia/commons/b/bf/Kit_body_AJAuxerre2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AJ Auxerre
al-ahli,crest,File:Al Ahli SC logo.svg,https://upload.wikimedia.org/wikipedia/en/3/39/Al_Ahli_SC_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Al Ahli SC (Doha)
al-ahli,kit-home,File:Kit body adidasentrada22w.png,https://upload.wikimedia.org/wikipedia/commons/1/11/Kit_body_adidasentrada22w.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al Ahli SC (Doha)
al-ettifaq,crest,File:Al-Ettifaq FC logo.svg,https://upload.wikimedia.org/wikipedia/en/3/34/Al-Ettifaq_FC_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Al-Ettifaq Club
al-ettifaq,kit-home,File:Kit body greencollar.png,https://upload.wikimedia.org/wikipedia/commons/5/55/Kit_body_greencollar.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Al-Ettifaq Club
al-faisaly,crest,File:Al-Faisaly SC (logo).png,https://upload.wikimedia.org/wikipedia/en/5/5d/Al-Faisaly_SC_%28logo%29.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Al-Faisaly SC
al-faisaly,kit-away,File:Kit body fcminaj2122a.png,https://upload.wikimedia.org/wikipedia/commons/3/3e/Kit_body_fcminaj2122a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al-Faisaly SC
al-faisaly,kit-home,File:Kit body ghazlelmahalla2021h.png,https://upload.wikimedia.org/wikipedia/commons/5/56/Kit_body_ghazlelmahalla2021h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al-Faisaly SC
al-fateh,crest,File:Extended-protection-shackle.svg,https://upload.wikimedia.org/wikipedia/en/8/8c/Extended-protection-shackle.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Al-Fateh
al-fayha,crest,File:Al-Fayha FC.svg,https://upload.wikimedia.org/wikipedia/en/0/0f/Al-Fayha_FC.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Al-Fayha Club
al-fayha,kit-home,File:Kit body pumaflash2122nr.png,https://upload.wikimedia.org/wikipedia/commons/c/c4/Kit_body_pumaflash2122nr.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al-Fayha Club
al-hazem,crest,File:Al-Hazem FC Logo.svg,https://upload.wikimedia.org/wikipedia/en/a/ab/Al-Hazem_FC_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Al-Hazem FC
al-hazem,kit-away,File:Kit body hazem1920a.png,https://upload.wikimedia.org/wikipedia/commons/2/2a/Kit_body_hazem1920a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al-Hazem FC
al-hazem,kit-home,File:Kit body hazem1920h.png,https://upload.wikimedia.org/wikipedia/commons/3/3f/Kit_body_hazem1920h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al-Hazem FC
al-hazem,kit-third,File:Kit body hazem1920t.png,https://upload.wikimedia.org/wikipedia/commons/0/0a/Kit_body_hazem1920t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al-Hazem FC
al-hilal,crest,File:Al Hilal SFC Logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/55/Al_Hilal_SFC_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Al Hilal SFC
al-hilal,kit-away,File:Kit body alhilal2526a.png,https://upload.wikimedia.org/wikipedia/commons/f/fa/Kit_body_alhilal2526a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Al Hilal SFC
al-hilal,kit-home,File:Kit body alhilal2526h.png,https://upload.wikimedia.org/wikipedia/commons/2/20/Kit_body_alhilal2526h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Al Hilal SFC
al-hilal,kit-third,File:Kit body alhilal2526t.png,https://upload.wikimedia.org/wikipedia/commons/0/01/Kit_body_alhilal2526t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Al Hilal SFC
al-ittihad,crest,"File:600px red,white and black Ittihad Aleppo.png",https://upload.wikimedia.org/wikipedia/commons/3/34/600px_red%2Cwhite_and_black_Ittihad_Aleppo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al-Ittihad
al-khaleej,crest,File:Al-Khaleej FC Logo.svg,https://upload.wikimedia.org/wikipedia/en/3/32/Al-Khaleej_FC_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Al-Khaleej FC
al-kholood,crest,File:Al Kholood Club Logo.svg,https://upload.wikimedia.org/wikipedia/en/b/b6/Al_Kholood_Club_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Al-Kholood Club
al-nassr,crest,File:Nassr FC Logo.svg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Nassr_FC_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Al-Nassr FC
al-nassr,kit-away,File:Kit body alnassr2627a.png,https://upload.wikimedia.org/wikipedia/commons/8/8a/Kit_body_alnassr2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Al-Nassr FC
al-nassr,kit-home,File:Kit body alnassr2627h.png,https://upload.wikimedia.org/wikipedia/commons/f/f4/Kit_body_alnassr2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Al-Nassr FC
al-qadsiah,crest,File:QAD LOGO.png,https://upload.wikimedia.org/wikipedia/commons/6/68/QAD_LOGO.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Al Qadsiah FC
al-qadsiah,kit-away,File:Kit body alqadsiah2627a.png,https://upload.wikimedia.org/wikipedia/commons/8/8a/Kit_body_alqadsiah2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Al Qadsiah FC
al-qadsiah,kit-home,File:Kit body alqadsiah2627h.png,https://upload.wikimedia.org/wikipedia/commons/4/4b/Kit_body_alqadsiah2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Al Qadsiah FC
al-riyadh,crest,File:Al-Riyadh SC.svg,https://upload.wikimedia.org/wikipedia/en/3/39/Al-Riyadh_SC.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Al-Riyadh SC
al-riyadh,kit-home,File:Kit body blackstripes.png,https://upload.wikimedia.org/wikipedia/commons/9/97/Kit_body_blackstripes.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Al-Riyadh SC
al-shabab,crest,File:Al Shabab FC (Riyadh).svg,https://upload.wikimedia.org/wikipedia/en/2/2d/Al_Shabab_FC_%28Riyadh%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Al-Shabab
al-taawoun,crest,File:Al Taawoun FC Logo.svg,https://upload.wikimedia.org/wikipedia/en/0/08/Al_Taawoun_FC_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Al Taawoun FC
al-taawoun,kit-away,File:Kit body taawoun1920a.png,https://upload.wikimedia.org/wikipedia/commons/0/02/Kit_body_taawoun1920a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al Taawoun FC
al-taawoun,kit-home,File:Kit body greystripes.png,https://upload.wikimedia.org/wikipedia/commons/a/a9/Kit_body_greystripes.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Al Taawoun FC
algeria,crest,File:Algerian Football Federation logo.png,https://upload.wikimedia.org/wikipedia/en/c/c3/Algerian_Football_Federation_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Algeria
alpecin-premier-tech,crest,File:MaillotAllemania.svg,https://upload.wikimedia.org/wikipedia/commons/8/80/MaillotAllemania.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Alpecin–Premier Tech
alpine,crest,File:Vector search icon.svg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Vector_search_icon.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Alpine
angers-sco,crest,File:Angers Sporting Club de l'Ouest logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Angers_Sporting_Club_de_l%27Ouest_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Angers SCO
angers-sco,kit-away,File:Kit body angers2526a.png,https://upload.wikimedia.org/wikipedia/commons/e/e0/Kit_body_angers2526a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Angers SCO
angers-sco,kit-home,File:Kit body angers2627h.png,https://upload.wikimedia.org/wikipedia/commons/c/c1/Kit_body_angers2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Angers SCO
angers-sco,kit-third,File:Kit body angers2526t.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Kit_body_angers2526t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Angers SCO
argentina,crest,File:Usal argentina logo.png,https://upload.wikimedia.org/wikipedia/en/0/03/Usal_argentina_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Argentina
arizona-cardinals,crest,File:Arizona Cardinals logo.svg,https://upload.wikimedia.org/wikipedia/en/7/72/Arizona_Cardinals_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Arizona Cardinals
arizona-diamondbacks,crest,File:Arizona Diamondbacks logo teal.svg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Arizona_Diamondbacks_logo_teal.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Arizona Diamondbacks
arsenal,crest,File:Arsenal FC.svg,https://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Arsenal F.C.
arsenal,kit-away,File:Kit body arsenal2627a.png,https://upload.wikimedia.org/wikipedia/commons/4/47/Kit_body_arsenal2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Arsenal F.C.
arsenal,kit-home,File:Kit body arsenal2627h.png,https://upload.wikimedia.org/wikipedia/commons/4/43/Kit_body_arsenal2627hA.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Arsenal F.C.
arsenal,kit-third,File:Kit body arsenal2627t.png,https://upload.wikimedia.org/wikipedia/commons/1/1c/Kit_body_arsenal2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Arsenal F.C.
as-monaco,crest,File:LogoASMonacoFC2021.svg,https://upload.wikimedia.org/wikipedia/en/c/cf/LogoASMonacoFC2021.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),AS Monaco FC
as-monaco,kit-away,File:Kit body monaco2627a.png,https://upload.wikimedia.org/wikipedia/commons/6/65/Kit_body_monaco2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AS Monaco FC
as-monaco,kit-home,File:Kit body monaco2627h.png,https://upload.wikimedia.org/wikipedia/commons/c/c6/Kit_body_monaco2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AS Monaco FC
as-monaco,kit-third,File:Kit body monaco2627t.png,https://upload.wikimedia.org/wikipedia/commons/1/13/Kit_body_monaco2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AS Monaco FC
as-roma,crest,File:AS Roma logo (2017).svg,https://upload.wikimedia.org/wikipedia/en/f/f7/AS_Roma_logo_%282017%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),AS Roma
as-roma,kit-away,File:Kit body roma2627a.png,https://upload.wikimedia.org/wikipedia/commons/2/26/Kit_body_roma2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AS Roma
as-roma,kit-home,File:Kit body roma2627h.png,https://upload.wikimedia.org/wikipedia/commons/a/aa/Kit_body_roma2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AS Roma
as-roma,kit-third,File:Kit body roma2627t.png,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kit_body_roma2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AS Roma
aston-martin,crest,File:Motorsport current event.svg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Motorsport_current_event.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Aston Martin AMR26
aston-villa,crest,File:Aston Villa FC new crest.svg,https://upload.wikimedia.org/wikipedia/en/9/9a/Aston_Villa_FC_new_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Aston Villa F.C.
aston-villa,kit-away,File:Kit body astonvilla2627A.png,https://upload.wikimedia.org/wikipedia/commons/6/64/Kit_body_astonvilla2627A.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Aston Villa F.C.
aston-villa,kit-home,File:Kit body astonvilla2627h.png,https://upload.wikimedia.org/wikipedia/commons/e/e2/Kit_body_astonvilla2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Aston Villa F.C.
aston-villa,kit-third,File:Kit body astonvilla2627t.png,https://upload.wikimedia.org/wikipedia/commons/6/6c/Kit_body_astonvilla2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Aston Villa F.C.
atalanta,crest,File:Atalanta BC new logo.svg,https://upload.wikimedia.org/wikipedia/en/f/f2/Atalanta_BC_new_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Atalanta BC
atalanta,kit-away,File:Kit body atalanta2627a.png,https://upload.wikimedia.org/wikipedia/commons/9/9f/Kit_body_atalanta2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Atalanta BC
atalanta,kit-home,File:Kit body atalanta2627h.png,https://upload.wikimedia.org/wikipedia/commons/e/e1/Kit_body_atalanta2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Atalanta BC
atalanta,kit-third,File:Kit body atalanta2526t.png,https://upload.wikimedia.org/wikipedia/commons/2/27/Kit_body_atalanta2526t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Atalanta BC
athletic-club,crest,File:Athletic Club (Minas Gerais).svg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Athletic_Club_%28Minas_Gerais%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Athletic Club (MG)
athletic-club,kit-away,File:Kit body athletic25a.png,https://upload.wikimedia.org/wikipedia/commons/8/82/Kit_body_athletic25a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Athletic Club (MG)
athletic-club,kit-home,File:Kit body athletic25h.png,https://upload.wikimedia.org/wikipedia/commons/9/94/Kit_body_athletic25h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Athletic Club (MG)
athletic-club,kit-third,File:Kit body athletic25t.png,https://upload.wikimedia.org/wikipedia/commons/2/23/Kit_body_athletic25t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Athletic Club (MG)
athletics,crest,File:Shenandoah Athletics logo.svg,https://upload.wikimedia.org/wikipedia/en/b/b6/Shenandoah_Athletics_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Athletics
atlanta-braves,crest,File:Atlanta Braves Insignia.svg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Atlanta_Braves_Insignia.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Atlanta Braves
atlanta-falcons,crest,File:Atlanta Falcons logo.svg,https://upload.wikimedia.org/wikipedia/en/c/c5/Atlanta_Falcons_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Atlanta Falcons
atlanta-hawks,crest,File:Atlanta Hawks logo.svg,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Atlanta Hawks
atlanta-hawks,kit-home,File:Kit body atlantahawks association2021.png,https://upload.wikimedia.org/wikipedia/commons/c/cf/Kit_body_atlantahawks_association2021.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Atlanta Hawks
atlanta-united,crest,File:Kit shorts atlantaunited17a.png,https://upload.wikimedia.org/wikipedia/commons/e/e4/Kit_shorts_atlantaunited17a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Atlanta United FC
atlanta-united,kit-away,File:Kit body atlanta20A.png,https://upload.wikimedia.org/wikipedia/commons/4/42/Kit_body_atlanta20A.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Atlanta United FC
atlanta-united,kit-home,File:Kit body atlanta19h.png,https://upload.wikimedia.org/wikipedia/commons/e/e6/Kit_body_atlanta19h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Atlanta United FC
atletico-de-madrid,crest,File:Atletico Madrid Logo 2024.svg,https://upload.wikimedia.org/wikipedia/en/f/f9/Atletico_Madrid_Logo_2024.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Atlético Madrid
atletico-de-madrid,kit-away,File:Kit body atleticomadrid2627a.png,https://upload.wikimedia.org/wikipedia/commons/5/56/Kit_body_atleticomadrid2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Atlético Madrid
atletico-de-madrid,kit-home,File:Kit body atleticomadrid2627h.png,https://upload.wikimedia.org/wikipedia/commons/4/41/Kit_body_atleticomadrid2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Atlético Madrid
atletico-de-madrid,kit-third,File:Kit body atleticomadrid2627t.png,https://upload.wikimedia.org/wikipedia/commons/e/e7/Kit_body_atleticomadrid2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Atlético Madrid
audi,crest,File:Revolut logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/73/Revolut_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Revolut
austin-fc,crest,File:Austin FC logo.svg,https://upload.wikimedia.org/wikipedia/en/8/85/Austin_FC_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Austin FC
austin-fc,kit-away,File:Kit body austin26aA.png,https://upload.wikimedia.org/wikipedia/commons/e/e2/Kit_body_austin26aA.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Austin FC
austin-fc,kit-home,File:Kit body austin25h.png,https://upload.wikimedia.org/wikipedia/commons/a/ab/Kit_body_austin25h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Austin FC
austin-fc,kit-third,File:Kit body austin26t.png,https://upload.wikimedia.org/wikipedia/commons/1/18/Kit_body_austin26t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Austin FC
australia,crest,File:Shield and crest of Federation University Australia.svg,https://upload.wikimedia.org/wikipedia/en/e/e4/Shield_and_crest_of_Federation_University_Australia.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Australia
austria,crest,File:Austria national football team crest.svg,https://upload.wikimedia.org/wikipedia/en/b/b7/Austria_national_football_team_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Austria
bahrain-victorious,crest,File:Team Bahrain Victorious Logo.png,https://upload.wikimedia.org/wikipedia/commons/0/0f/Team_Bahrain_Victorious_Logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Team Bahrain Victorious
baltimore-orioles,crest,File:Baltimore Orioles cap.svg,https://upload.wikimedia.org/wikipedia/en/7/75/Baltimore_Orioles_cap.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Baltimore Orioles
baltimore-ravens,crest,File:Baltimore Ravens logo.svg,https://upload.wikimedia.org/wikipedia/en/1/16/Baltimore_Ravens_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Baltimore Ravens
barcelona,crest,File:FC Barcelona (crest).svg,https://upload.wikimedia.org/wikipedia/en/4/47/FC_Barcelona_%28crest%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,FC Barcelona
barcelona,kit-away,File:Kit body barcelona2627a.png,https://upload.wikimedia.org/wikipedia/commons/5/5c/Kit_body_barcelona2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Barcelona
barcelona,kit-home,File:Kit body barcelona2627h.png,https://upload.wikimedia.org/wikipedia/commons/0/03/Kit_body_barcelona2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Barcelona
barcelona,kit-third,File:Kit body barcelona2627t.png,https://upload.wikimedia.org/wikipedia/commons/9/95/Kit_body_barcelona2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Barcelona
bayer-leverkusen,crest,File:Bayer 04 Leverkusen logo.svg,https://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Bayer 04 Leverkusen
bayer-leverkusen,kit-away,File:Kit body bayer2627a.png,https://upload.wikimedia.org/wikipedia/commons/2/20/Kit_body_bayer2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Bayer 04 Leverkusen
bayer-leverkusen,kit-home,File:Kit body bayer2627h.png,https://upload.wikimedia.org/wikipedia/commons/6/61/Kit_body_bayer2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Bayer 04 Leverkusen
